Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	Developers	ChangeAtMethodAge	ProjectAge	CommitDate-ProjectFirstDate	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file
1547	5,5,5,3	5,5,5,3	5,5,5,3	0.0,0.0,0.0,0.0	0.030870741233229637,0.030870741233229637,0.030870741233229637,0.0012989571550861	0.15358046425495572,0.15358046425495572,0.15358046425495572,0.224110445772065	2,2,2,0	1,1,1,0	3,3,3,0	2,2,2,1	2,2,2,1	5.99,5.99,5.99,3.77	1,1,1,0	2,2,2,1	2,2,2,1	19.0,19.0,19.0,16.0	4.0,4.0,4.0,5.0	29.0,29.0,29.0,23.0	8.0,8.0,8.0,8.0	23.0,23.0,23.0,21.0	37.0,37.0,37.0,31.0	167.3718,167.3718,167.3718,136.16183	19.0,19.0,19.0,12.8	3180.0642,3180.0642,3180.0642,1742.8715	176.67023,176.67023,176.67023,96.826195	0.0557906,0.0557906,0.0557906,0.04538728	117.84197235107422,117.84197235107422,117.84197235107422,127.42049407958984	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	0,0,0,0	0,0,0,0	3,3,3,3	0,0,0,0	0,0,0,0	0,0,0,0	hotchemi,JUnit Team,JUnit Team,Why you want to know	0,98,100,243	281,380,382,524	11/03/16-04/06/15,18/06/16-04/06/15,20/06/16-04/06/15,09/11/16-04/06/15	0,0,0,1	0,0,0,4	0,0,0,47	0,250,596,269	0,0,0,242	0,0,0,0	0,0,0,0	0,0,1,0	1926.json
1182	4,5,13	3,3,10	4,5,13	0.0,0.0,0.0	0.045036960393190384,0.057629600167274475,0.02738896943628788	0.09759846935084324,0.06180165925874808,0.002540731933334251	0,0,0	0,0,0	0,0,0	1,1,2	1,1,2	9.8,10.85,13.62	0,0,2	3,4,6	3,4,6	20.0,21.0,28.0	6.0,7.0,10.0	28.0,31.0,59.0	8.0,9.0,15.0	26.0,28.0,38.0	36.0,40.0,74.0	169.21584,192.29419,388.34665	13.333334,13.5,21.0	2256.2112,2595.9717,8155.28	125.34506,144.22064,453.0711	0.05640528,0.06409806,0.12944888	121.62992095947266,117.35016632080078,97.98594665527344	1,1,1	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	1,1,1	0,0,1	0,0,0	0,0,0	Marc Philipp,jensim / Jens Brimfors,Sam Brannen	0,249,480	646,895,1127	11/03/17-04/06/15,15/11/17-04/06/15,05/07/18-04/06/15	0,1,11	0,1,14	0,29,237	0,2,6	0,2,6	0,0,0	0,0,1	0,0,1	716.json
734	3	3	3	0.0	0.6818232536315918	0.25826226664241136	1	1	2	2	2	3.77	0	1	1	18.0	4.0	22.0	6.0	22.0	28.0	124.86409	13.5	1685.6652	93.64806	0.041621365	127.64090728759766	0	0	0	1	1	0	0	1	0	0	0	Sam Brannen	0	1095	03/06/18-04/06/15	0	0	0	0	0	0	0	0	460.json
1182	11,4	11,3	11,4	0.0,0.0	0.19295167922973633,0.1779702752828598	0.3528837777499413,0.2565902110438164	4,0	2,0	6,0	4,1	4,1	6.9,9.8	2,0	4,5	3,5	17.0,18.0	5.0,2.0	39.0,28.0	9.0,4.0	22.0,20.0	48.0,32.0	214.05272,138.3017	15.299999,18.0	3275.0063,2489.4307	181.9448,138.3017	0.07135091,0.046100564	103.32974243164062,122.678955078125	0,0	0,0	0,0	0,0	1,1	0,0	0,0	1,1	1,0	0,0	0,0	Christian Stein,Jonathan Bluett-Duncan	0,163	646,810	11/03/17-04/06/15,22/08/17-04/06/15	0,2	0,11	0,101	0,26	0,26	0,0	0,0	0,1	651.json
456	14,14,16,16	10,10,12,12	12,12,14,14	0.16666666666666666,0.16666666666666666,0.14285714285714285,0.14285714285714285	0.0018011050997301936,0.0016736232209950686,3.173373988829553E-4,2.338626072742045E-4	1.331218884658851E-7,6.79457522882838E-8,3.6080956415289953E-10,3.214089116205378E-10	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	10.85,11.78,11.03,11.03	2,2,2,2	16,16,18,19	13,13,15,16	41.0,41.0,45.0,46.0	12.0,13.0,15.0,15.0	102.0,103.0,125.0,125.0	21.0,22.0,28.0,28.0	53.0,54.0,60.0,61.0	123.0,125.0,153.0,153.0	704.53424,719.36096,903.7542,907.40283	35.875,34.692307,42.0,42.933334	25275.166,24956.291,37957.676,38957.83	1404.1759,1386.4606,2108.7598,2164.3237	0.23484474,0.23978698,0.3012514,0.3024676	96.41532135009766,96.30702209472656,92.6231689453125,92.60221862792969	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	3,3,4,4	0,0,0,0	0,0,0,0	Marc Philipp,Marc Philipp,Marc Philipp,Juliette de Rancourt	0,89,129,217	1372,1462,1502,1590	07/03/19-04/06/15,05/06/19-04/06/15,15/07/19-04/06/15,11/10/19-04/06/15	0,1,6,1	0,2,10,2	0,91,170,28	0,6,21,32	0,6,21,32	0,0,0,0	0,1,1,0	0,0,1,0	325.json
1489	3,3,3	3,3,3	3,3,3	0.0,0.0,0.0	0.46419259905815125,0.46419259905815125,0.46419259905815125	0.5692339159865755,0.5692339159865755,0.5692339159865755	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	3.77,3.77,3.77	0,0,0	2,2,2	2,2,2	13.0,13.0,13.0	4.0,4.0,4.0	18.0,18.0,18.0	5.0,5.0,5.0	17.0,17.0,17.0	23.0,23.0,23.0	94.01165,94.01165,94.01165	8.125,8.125,8.125	763.84467,763.84467,763.84467	42.435814,42.435814,42.435814	0.031337216,0.031337216,0.031337216	129.34671020507812,129.34671020507812,129.34671020507812	1,1,1	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	Sam Brannen,JUnit Team,JUnit Team	0,41,42	340,381,382	09/05/16-04/06/15,19/06/16-04/06/15,20/06/16-04/06/15	0,0,0	0,0,0	0,0,0	0,317,596	0,1,0	0,0,0	0,0,0	0,1,1	1059.json
732	3	3	3	0.0	0.9492362141609192	0.5278003064223894	1	1	2	2	2	3.77	0	0	0	15.0	4.0	16.0	7.0	19.0	23.0	97.70234	13.125	1282.3433	71.241295	0.032567445	128.91647338867188	1	0	0	0	1	0	0	1	0	0	0	Sam Brannen	0	1097	05/06/18-04/06/15	0	0	0	0	0	0	0	0	162.json
1234	3	3	3	0.0	0.00658221822232008	0.25559236134670266	0	0	0	1	1	3.77	0	2	2	14.0	7.0	20.0	8.0	21.0	28.0	122.984886	8.0	983.8791	54.65995	0.04099496	127.94976043701172	0	0	0	1	0	0	0	2	0	0	0	Christian Stein	0	594	18/01/17-04/06/15	0	0	0	0	0	0	0	0	1563.json
715	3	3	3	0.0	0.7767645120620728	0.8711501969784201	0	0	0	1	1	3.77	0	1	1	9.0	3.0	11.0	3.0	12.0	14.0	50.189476	4.5	225.85265	12.547369	0.016729826	132.61029052734375	0	0	0	0	0	0	0	0	0	0	0	Marc Philipp	0	1114	22/06/18-04/06/15	0	0	0	0	0	0	0	0	1538.json
1602	3,3,3,3,3,3	3,3,3,3,3,3	3,3,3,3,3,3	0.0,0.0,0.0,0.0,0.0,0.0	0.8709954619407654,0.8528963327407837,0.8528963327407837,0.9145424365997314,0.9145424365997314,0.9145424365997314	0.9102636457824008,0.8588994339669017,0.8604833116704881,0.8839104550819026,0.8839104550819026,0.8839104550819026	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	1,1,1,1,1,1	3.77,3.77,3.77,3.77,3.77,3.77	0,0,0,0,0,0	0,1,1,1,1,1	0,1,1,1,1,1	9.0,11.0,11.0,11.0,11.0,11.0	2.0,1.0,1.0,1.0,1.0,1.0	10.0,13.0,13.0,13.0,13.0,13.0	2.0,1.0,1.0,1.0,1.0,1.0	11.0,12.0,12.0,12.0,12.0,12.0	12.0,14.0,14.0,14.0,14.0,14.0	41.51318,50.189476,50.189476,50.189476,50.189476,50.189476	4.5,5.5,5.5,5.5,5.5,5.5	186.80931,276.0421,276.0421,276.0421,276.0421,276.0421	10.378295,15.335673,15.335673,15.335673,15.335673,15.335673	0.013837727,0.016729826,0.016729826,0.016729826,0.016729826,0.016729826	133.59722900390625,132.61029052734375,132.61029052734375,132.61029052734375,132.61029052734375,132.61029052734375	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	Stefan Bechtold,Stefan Bechtold,Stefan Bechtold,Stefan Bechtold,JUnit Team,JUnit Team	0,1,1,1,154,155	226,227,227,227,381,382	16/01/16-04/06/15,17/01/16-04/06/15,17/01/16-04/06/15,17/01/16-04/06/15,19/06/16-04/06/15,20/06/16-04/06/15	0,1,1,2,0,0	0,2,2,4,0,0	0,9,6,12,0,0	0,11,2,12,317,596	0,11,2,12,1,0	0,0,0,0,0,0	0,0,0,0,0,0	0,1,1,1,1,1	808.json
367	4	3	4	0.0	0.3858548402786255	0.5025113278798837	0	0	0	1	1	6.63	0	2	2	13.0	4.0	17.0	4.0	17.0	21.0	85.83672	6.5	557.9387	30.996595	0.028612241	125.15930938720703	0	0	0	1	0	0	1	0	0	0	0	Marc Philipp	0	1462	05/06/19-04/06/15	0	0	0	0	0	0	0	0	342.json
597	5	5	5	0.0	0.07982701063156128	0.23748491301388835	2	1	3	2	2	5.99	1	2	2	18.0	4.0	27.0	7.0	22.0	34.0	151.62068	15.75	2388.0256	132.66809	0.050540227	118.35591888427734	0	0	0	0	1	0	0	3	0	0	0	Shirish Padalkar	0	1232	18/10/18-04/06/15	0	0	0	0	0	0	0	0	2336.json
1602	9,13,13,13,9,9,9,9,9,9,9,9,9	7,7,7,7,3,3,3,3,3,3,3,3,3	9,11,11,11,7,7,7,7,7,7,7,7,7	0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857	0.08235475420951843,0.2374698519706726,0.25933799147605896,0.25933799147605896,0.03969932720065117,0.03969932720065117,0.03969932720065117,0.05339460074901581,0.05339460074901581,0.15652495622634888,0.3379177153110504,0.3379177153110504,0.3379177153110504	0.030078605524584957,0.19988139409818,0.19808209904745566,0.19808209904745566,0.3686976198086473,0.3686976198086473,0.3686976198086473,0.26872101992488,0.26872101992488,0.23406315625157836,0.39459337967450053,0.39459337967450053,0.39459337967450053	1,1,1,1,0,0,0,0,0,0,0,0,0	1,1,1,1,0,0,0,0,0,0,0,0,0	2,2,2,2,0,0,0,0,0,0,0,0,0	2,2,2,2,1,1,1,1,1,1,1,1,1	2,2,2,2,1,1,1,1,1,1,1,1,1	7.33,12.34,12.34,12.34,3.82,3.82,3.82,9.98,9.98,9.98,9.98,9.98,9.98	1,1,1,1,0,0,0,0,0,0,0,0,0	6,6,6,6,7,7,7,7,7,7,6,6,6	6,6,6,6,6,6,6,6,6,7,6,6,6	25.0,24.0,24.0,24.0,18.0,18.0,18.0,17.0,17.0,18.0,18.0,18.0,18.0	7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0	45.0,43.0,43.0,43.0,36.0,36.0,36.0,34.0,34.0,34.0,31.0,31.0,31.0	10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,6.0,6.0	32.0,31.0,31.0,31.0,26.0,26.0,26.0,25.0,25.0,26.0,23.0,23.0,23.0	55.0,52.0,52.0,52.0,45.0,45.0,45.0,43.0,43.0,43.0,37.0,37.0,37.0	275.0,257.61823,257.61823,257.61823,211.51979,211.51979,211.51979,199.6858,199.6858,202.11891,167.3718,167.3718,167.3718	17.857143,15.428572,15.428572,15.428572,10.125,10.125,10.125,9.5625,9.5625,10.125,10.8,10.8,10.8	4910.7144,3974.6812,3974.6812,3974.6812,2141.638,2141.638,2141.638,1909.4955,1909.4955,2046.454,1807.6155,1807.6155,1807.6155	272.81747,220.81561,220.81561,220.81561,118.97989,118.97989,118.97989,106.083084,106.083084,113.69189,100.42308,100.42308,100.42308	0.09166667,0.08587274,0.08587274,0.08587274,0.070506595,0.070506595,0.070506595,0.06656194,0.06656194,0.06737297,0.0557906,0.0557906,0.0557906	105.73775482177734,102.82640838623047,102.82640838623047,102.82640838623047,111.40380096435547,111.40380096435547,111.40380096435547,111.70317840576172,111.70317840576172,111.64020538330078,112.62112426757812,112.62112426757812,112.62112426757812	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	Stefan Bechtold,Stefan Bechtold,Stefan Bechtold,Stefan Bechtold,Stefan Bechtold,Stefan Bechtold,Marc Philipp,Marc Philipp,Johannes Link,Sam Brannen,Sam Brannen,JUnit Team,JUnit Team	0,1,1,1,1,2,2,5,52,132,133,154,155	226,227,227,227,227,228,228,231,278,359,360,381,382	16/01/16-04/06/15,17/01/16-04/06/15,17/01/16-04/06/15,17/01/16-04/06/15,17/01/16-04/06/15,18/01/16-04/06/15,18/01/16-04/06/15,21/01/16-04/06/15,08/03/16-04/06/15,28/05/16-04/06/15,29/05/16-04/06/15,19/06/16-04/06/15,20/06/16-04/06/15	0,7,3,0,8,0,0,9,0,2,1,0,0	0,10,6,0,20,0,0,18,0,4,2,0,0	0,90,16,0,262,0,0,112,0,12,60,0,0	0,11,12,38,6,38,19,3,6,5,1,317,596	0,11,12,18,6,19,0,3,4,5,1,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,1,1,1,1,1,0,0,0,0,1,1	1073.json
