Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	Developers	ChangeAtMethodAge	ProjectAge	CommitDate-ProjectFirstDate	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file	Category
2003	7	8	7	0.0	3.0006683664396405E-4	0.001614488949734599	3	2	5	2	2	3.61	0	1	1	20.0	10.0	43.0	26.0	30.0	69.0	338.57544	26.0	8802.961	489.05338	0.11285848	108.72756958007812	1	0	0	0	0	0	0	1	0	0	0	Reinier Zwitserloot	0	2046	14/01/15-08/06/09	0	0	0	0	0	0	0	0	2597.json	Good
128	17	17	16	0.0	0.05287044867873192	1.9257089578742887E-5	6	4	10	6	6	12.72	4	4	4	35.0	12.0	80.0	23.0	47.0	103.0	572.1226	33.541664	19189.945	1066.108	0.19070753	91.68742370605469	1	0	0	0	1	0	0	2	4	0	0	Jan Rieke	0	3921	03/03/20-08/06/09	0	0	0	0	0	0	0	0	2937.json	Undecided
1138	11,6,6	10,5,5	10,5,5	0.0,0.0,0.0	0.0037596907932311296,0.8789798021316528,0.8789798021316528	3.345298038047815E-4,0.42294379532764526,0.42294379532764526	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	3.2,3.92,3.92	0,0,0	8,3,3	8,3,3	24.0,18.0,18.0	14.0,4.0,4.0	53.0,24.0,24.0	25.0,6.0,6.0	38.0,22.0,22.0	78.0,30.0,30.0	409.33835,133.78294,133.78294	21.428572,13.5,13.5	8771.536,1806.0697,1806.0697	487.30756,100.337204,100.337204	0.13644612,0.044594314,0.044594314	102.1925048828125,119.23677062988281,119.23677062988281	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	0,0,0	0,0,0	Reinier Zwitserloot,Reinier Zwitserloot,Reinier Zwitserloot	0,14,1121	2912,2926,4033	29/05/17-08/06/09,12/06/17-08/06/09,23/06/20-08/06/09	0,1,0	0,7,0	0,343,0	0,2,91	0,2,31	0,0,0	0,0,0	0,0,0	331.json	Bad
4043	3,3,3,3,3,3,3,3	4,4,4,3,3,3,3,3	3,3,3,3,3,3,3,3	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.04019343852996826,0.04019343852996826,0.006078279577195644,5.872016190551221E-4,8.242671610787511E-4,8.242671610787511E-4,0.0022076526656746864,4.363723855931312E-4	0.38403963250664475,0.38403963250664475,0.36623475154341767,0.06845663293430437,0.0689609726160977,0.0689609726160977,0.10772661592604726,0.0600153833519933	0,0,0,2,2,2,2,2	0,0,0,1,1,1,1,1	0,0,0,3,3,3,3,3	1,1,1,2,2,2,2,2	1,1,1,2,2,2,2,2	3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77	0,0,0,0,0,0,0,0	1,1,1,2,2,2,2,3	1,1,1,2,2,2,2,3	14.0,14.0,14.0,17.0,17.0,17.0,16.0,17.0	6.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0	18.0,18.0,18.0,23.0,23.0,23.0,22.0,25.0	7.0,7.0,7.0,13.0,13.0,13.0,12.0,13.0	20.0,20.0,20.0,24.0,24.0,24.0,22.0,23.0	25.0,25.0,25.0,36.0,36.0,36.0,34.0,38.0	108.0482,108.0482,108.0482,165.05864,165.05864,165.05864,151.62068,171.89536	8.166666,8.166666,8.166666,15.785714,15.785714,15.785714,16.0,18.416668	882.39355,882.39355,882.39355,2605.5686,2605.5686,2605.5686,2425.931,3165.7397	49.021866,49.021866,49.021866,144.75381,144.75381,144.75381,134.77394,175.87444	0.03601607,0.03601607,0.03601607,0.055019546,0.055019546,0.055019546,0.050540227,0.05729845	128.62307739257812,128.62307739257812,128.62307739257812,126.1897201538086,126.1897201538086,126.1897201538086,126.63129425048828,125.97867584228516	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	3,3,3,3,3,3,3,3	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	Reinier Zwitserloot,Reinier Zwitserloot,Reinier Zwitserloot,Reinier Zwitserloot,Reinier Zwitserloot,Reinier Zwitserloot,Reinier Zwitserloot,grootjans	0,0,11,99,123,162,861,1113	7,7,18,106,130,169,868,1120	15/06/09-08/06/09,15/06/09-08/06/09,26/06/09-08/06/09,22/09/09-08/06/09,16/10/09-08/06/09,24/11/09-08/06/09,24/10/11-08/06/09,02/07/12-08/06/09	0,1,1,1,1,0,1,1	0,2,2,2,2,0,2,2	0,22,6,67,22,0,8,18	0,30,27,42,259,459,227,14	0,30,27,42,249,0,123,14	0,0,0,0,0,0,0,0	0,0,1,0,1,0,0,0	0,0,1,0,1,0,0,0	2392.json	Ugly
3630	4,3	3,3	3,3	0.3333333333333333,0.0	0.9384304881095886,0.8004422783851624	0.7326919253092649,0.6649035962263222	0,0	0,0	0,0	1,1	1,1	5.66,3.77	0,0	0,0	0,0	13.0,13.0	3.0,3.0	16.0,16.0	3.0,3.0	16.0,16.0	19.0,19.0	76.0,76.0	6.5,6.5	494.0,494.0	27.444445,27.444445	0.025333334,0.025333334	130.45266723632812,130.45266723632812	0,0	0,0	0,0	1,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	Roel Spilker,Roel Spilker	0,161	420,581	02/08/10-08/06/09,10/01/11-08/06/09	0,0	0,1	0,34	0,40	0,40	0,0	0,0	0,0	1639.json	Bad
4043	3,4,5,5,6,6,6,4,4,4,4	4,5,7,7,9,9,9,5,5,5,5	3,4,5,5,6,6,6,4,4,4,4	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	2.7029577177017927E-4,5.268959212116897E-4,9.232502779923379E-4,0.0010165577987208962,0.005672905594110489,0.0053175268694758415,0.0053175268694758415,0.011349688284099102,0.0036213528364896774,0.0035045351833105087,0.0010857394663617015	0.15259316987381205,0.0638839405037162,0.033201684970087186,0.027293788946988664,0.003626869142022278,0.003282475545841957,0.003282475545841957,0.07348099026680004,0.0479433512917628,0.05076809308043617,0.010518426226540773	0,0,1,1,2,2,2,0,0,0,0	0,0,1,1,2,2,2,0,0,0,0	0,0,2,2,4,4,4,0,0,0,0	1,1,2,2,3,3,3,1,1,1,1	1,1,2,2,3,3,3,1,1,1,1	3.77,4.0,3.92,3.92,3.77,3.77,3.77,4.0,4.0,4.0,4.0	0,0,0,0,0,0,0,0,0,0,0	2,4,4,5,5,5,5,3,3,3,4	2,4,4,5,5,5,5,3,3,3,4	17.0,19.0,21.0,22.0,25.0,25.0,25.0,20.0,20.0,20.0,21.0	5.0,6.0,6.0,5.0,7.0,7.0,7.0,6.0,7.0,7.0,9.0	26.0,33.0,38.0,40.0,48.0,48.0,48.0,31.0,32.0,32.0,37.0	9.0,10.0,11.0,10.0,14.0,14.0,14.0,10.0,11.0,11.0,14.0	22.0,25.0,27.0,27.0,32.0,32.0,32.0,26.0,27.0,27.0,30.0	35.0,43.0,49.0,50.0,62.0,62.0,62.0,41.0,43.0,43.0,51.0	156.08011,199.6858,232.98949,237.74438,310.0,310.0,310.0,192.71803,204.46016,204.46016,250.2514	15.299999,15.833333,19.25,22.0,25.0,25.0,25.0,16.666666,15.714285,15.714285,16.333334	2388.0256,3161.692,4485.048,5230.3765,7750.0,7750.0,7750.0,3211.967,3212.9453,3212.9453,4087.4397	132.66809,175.64955,249.16933,290.57648,430.55554,430.55554,430.55554,178.44261,178.49696,178.49696,227.07999	0.052026704,0.06656194,0.07766316,0.07924813,0.10333333,0.10333333,0.10333333,0.064239345,0.06815339,0.06815339,0.08341713	126.71056365966797,120.76895904541016,116.12194061279297,116.01688385009766,111.45332336425781,111.45332336425781,111.45332336425781,120.95364379882812,120.64608764648438,120.64608764648438,119.59520721435547	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	3,3,3,3,3,3,3,3,3,3,3	0,0,0,0,2,2,2,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	Reinier Zwitserloot,Reinier Zwitserloot,Reinier Zwitserloot,Reinier Zwitserloot,Reinier Zwitserloot,Reinier Zwitserloot,Reinier Zwitserloot,Reinier Zwitserloot,Reinier Zwitserloot,Reinier Zwitserloot,Roland Praml	0,0,0,2,2,123,162,714,777,1152,3353	7,7,7,9,9,130,169,721,784,1159,3360	15/06/09-08/06/09,15/06/09-08/06/09,15/06/09-08/06/09,17/06/09-08/06/09,17/06/09-08/06/09,16/10/09-08/06/09,24/11/09-08/06/09,30/05/11-08/06/09,01/08/11-08/06/09,10/08/12-08/06/09,20/08/18-08/06/09	0,3,2,1,3,3,0,1,1,1,1	0,5,3,2,5,6,0,4,2,2,2	0,88,50,5,85,25,0,104,14,8,39	0,30,8,160,19,259,459,104,10,37,8	0,30,8,158,19,249,0,104,10,37,8	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,1,1,0,0	0,0,0,0,0,1,0,1,1,0,0	2985.json	Ugly
3997	9,14,14,14,14,15,15,15,13	10,17,17,17,17,15,15,15,13	9,14,14,14,14,14,14,14,12	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.13358962535858154,0.001062853028997779,3.45706008374691E-4,3.922250180039555E-4,3.734636411536485E-4,0.012127479538321495,0.012127479538321495,0.004493851214647293,0.00485959043726325	0.04735440132296324,4.94835971777928E-5,1.0766098799895833E-5,9.896206379843133E-6,9.802363876336887E-6,5.747861670544842E-4,5.747861670544842E-4,3.229712511716288E-4,2.5997771752963363E-4	1,2,2,2,2,2,2,2,2	1,4,4,4,4,2,2,2,3	2,6,6,6,6,4,4,4,5	3,6,6,6,6,5,5,5,6	3,6,6,6,6,5,5,5,6	4.53,4.28,4.28,4.28,4.28,9.37,9.37,9.37,10.75	1,1,1,1,1,3,3,3,3	1,2,2,2,2,3,3,3,3	1,1,1,1,1,3,3,3,3	22.0,25.0,26.0,26.0,26.0,29.0,29.0,29.0,30.0	8.0,10.0,11.0,11.0,11.0,10.0,10.0,11.0,8.0	43.0,80.0,84.0,84.0,84.0,70.0,70.0,73.0,72.0	13.0,26.0,29.0,29.0,29.0,18.0,18.0,19.0,18.0	30.0,35.0,37.0,37.0,37.0,39.0,39.0,40.0,38.0	56.0,106.0,113.0,113.0,113.0,88.0,88.0,92.0,90.0	274.78586,543.704,588.6683,588.6683,588.6683,465.11542,465.11542,489.61737,472.31348	17.875,32.5,34.272728,34.272728,34.272728,26.099998,26.099998,25.045454,33.75	4911.7974,17670.379,20175.268,20175.268,20175.268,12139.512,12139.512,12262.689,15940.58	272.87762,981.68774,1120.8481,1120.8481,1120.8481,674.4173,674.4173,681.2605,885.58777	0.091595285,0.18123466,0.19622275,0.19622275,0.19622275,0.15503848,0.15503848,0.16320579,0.15743783	105.51180267333984,94.11556243896484,93.70238494873047,93.70238494873047,93.70238494873047,95.15738677978516,95.15738677978516,94.89042663574219,97.34477233886719	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,2,3,3,3,2,2,2,2	3,4,4,4,4,4,4,4,3	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	Roel Spilker,Reinier Zwitserloot,Reinier Zwitserloot,Reinier Zwitserloot,Reinier Zwitserloot,Roel Spilker,Reinier Zwitserloot,Reinier Zwitserloot,Reinier Zwitserloot	0,27,32,53,116,466,815,1291,2008	53,80,85,106,169,519,868,1344,2061	31/07/09-08/06/09,27/08/09-08/06/09,01/09/09-08/06/09,22/09/09-08/06/09,24/11/09-08/06/09,09/11/10-08/06/09,24/10/11-08/06/09,11/02/13-08/06/09,29/01/15-08/06/09	0,9,3,3,0,13,0,1,4	0,13,6,6,0,25,0,2,10	0,299,14,24,4,347,0,21,161	0,13,8,42,459,22,227,63,6	0,13,8,42,0,22,123,63,6	0,0,1,0,0,0,0,0,0	0,0,1,0,0,0,0,1,0	0,0,1,0,0,0,0,1,1	2749.json	Ugly
3161	3,3	3,3	3,3	0.0,0.0	0.3853079676628113,0.37172454595565796	0.2499686538787326,0.251055774153469	0,0	0,0	0,0	1,1	1,1	3.77,3.77	0,0	0,0	0,0	15.0,15.0	6.0,6.0	20.0,20.0	7.0,7.0	21.0,21.0	27.0,27.0	118.59257,118.59257	8.75,8.75	1037.6849,1037.6849	57.649162,57.649162	0.039530855,0.039530855	128.1388702392578,128.1388702392578	1,0	0,0	0,0	0,1	1,1	0,0	0,0	1,1	0,0	1,1	1,1	peichhorn,Reinier Zwitserloot	0,794	888,1682	13/11/11-08/06/09,15/01/14-08/06/09	0,1	0,2	0,6	0,99	0,99	0,0	0,0	0,0	1286.json	Bad
423	3	3	3	0.0	0.9239845275878906	0.8562478912417244	0	0	0	1	1	3.77	0	0	0	10.0	3.0	11.0	3.0	13.0	14.0	51.806156	5.0	259.0308	14.390599	0.01726872	132.4454345703125	0	0	0	1	1	0	0	0	0	0	0	Adam Juraszek	0	3627	14/05/19-08/06/09	0	0	0	0	0	0	0	0	1984.json	Undecided
1997	4	4	4	0.0	0.8699138760566711	0.20170140273656076	1	1	2	2	2	4.0	0	1	1	16.0	6.0	21.0	9.0	22.0	30.0	133.78294	12.0	1605.3953	89.18863	0.044594314	122.62169647216797	0	0	0	1	1	0	0	1	1	0	0	Reinier Zwitserloot	0	2052	20/01/15-08/06/09	0	0	0	0	0	0	0	0	1831.json	Good
