Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	Developers	ChangeAtMethodAge	ProjectAge	CommitDate-ProjectFirstDate	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file	Category
2972	8,7,8,8,5,5	7,7,7,7,4,4	8,7,8,8,5,5	0.0,0.0,0.0,0.0,0.0,0.0	0.06240915507078171,0.26341456174850464,0.19241130352020264,0.19241130352020264,0.2210540920495987,0.2210540920495987	0.03179768596791001,0.41702314481200614,0.40715789927403295,0.40715789927403295,0.3949602419033643,0.3949602419033643	4,1,1,1,0,0	3,1,1,1,0,0	7,2,2,2,0,0	2,2,2,2,1,1	2,2,2,2,1,1	3.71,2.56,2.83,2.83,2.99,2.99	1,1,1,1,0,0	4,3,3,3,3,3	4,3,3,3,3,3	23.0,19.0,19.0,19.0,18.0,18.0	9.0,6.0,7.0,7.0,5.0,5.0	41.0,30.0,31.0,31.0,25.0,25.0	13.0,8.0,9.0,9.0,7.0,7.0	32.0,25.0,26.0,26.0,23.0,23.0	54.0,38.0,40.0,40.0,32.0,32.0	270.0,176.46652,188.0176,188.0176,144.75398,144.75398	16.61111,12.666667,12.214286,12.214286,12.599999,12.599999	4485.0,2235.2427,2296.5007,2296.5007,1823.9001,1823.9001	249.16667,124.180145,127.583374,127.583374,101.32779,101.32779	0.09,0.058822174,0.06267253,0.06267253,0.048251327,0.048251327	107.74124908447266,112.11597442626953,109.62306213378906,109.62306213378906,118.82691955566406,118.82691955566406	1,1,1,1,1,1	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	2,1,1,1,1,1	1,1,1,1,1,1	2,0,0,0,0,0	1,0,0,0,0,0	Ming Li,Ming Li,Gokhan Caglar,Sean Wiese,David Emmel,Art Beatte IV	0,42,891,1122,1472,1807	889,931,1780,2011,2361,2696	15/10/12-10/05/10,26/11/12-10/05/10,25/03/15-10/05/10,11/11/15-10/05/10,26/10/16-10/05/10,26/09/17-10/05/10	0,2,2,0,1,0	0,5,3,0,5,0	0,139,33,0,67,0	0,20,1631,1916,113,2476	0,20,1328,51,98,137	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1182.json	Ugly
2479	3,3,3,3	3,3,3,3	3,3,3,3	0.0,0.0,0.0,0.0	0.9312458634376526,0.9312458634376526,0.939502477645874,0.9542380571365356	0.9477190821908456,0.9477190821908456,0.9494163875610995,0.9443628642271453	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	0,0,0,0	0,0,0,0	9.0,9.0,9.0,9.0	2.0,2.0,2.0,2.0	10.0,10.0,10.0,10.0	2.0,2.0,2.0,2.0	11.0,11.0,11.0,11.0	12.0,12.0,12.0,12.0	41.51318,41.51318,41.51318,41.51318	4.5,4.5,4.5,4.5	186.80931,186.80931,186.80931,186.80931	10.378295,10.378295,10.378295,10.378295	0.013837727,0.013837727,0.013837727,0.013837727	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	Ming Li,Sean Wiese,Zhuowen Deng,Art Beatte IV	0,629,873,1313	1382,2011,2256,2696	20/02/14-10/05/10,11/11/15-10/05/10,13/07/16-10/05/10,26/09/17-10/05/10	0,0,1,1	0,0,2,2	0,0,8,12	0,1916,40,2476	0,51,34,137	0,0,0,0	0,0,0,0	0,0,0,0	3371.json	Bad
1095	4	4	4	0.0	0.2869122624397278	0.8784657695691203	0	0	0	1	1	2.0	0	0	0	13.0	2.0	16.0	4.0	15.0	20.0	78.13781	13.0	1015.7915	56.43286	0.026045937	125.64796447753906	0	0	0	1	0	0	0	1	0	0	0	Pouya Larjani	0	2766	05/12/17-10/05/10	0	0	0	0	0	0	0	0	801.json	Good
2081	5,5,5	3,3,3	5,5,5	0.0,0.0,0.0	0.40400925278663635,0.40400925278663635,0.40400925278663635	0.724871575240123,0.724871575240123,0.724871575240123	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	3.58,3.58,3.58	0,0,0	1,1,1	1,1,1	16.0,16.0,16.0	3.0,3.0,3.0	22.0,22.0,22.0	5.0,5.0,5.0	19.0,19.0,19.0	27.0,27.0,27.0	114.694046,114.694046,114.694046	13.333333,13.333333,13.333333	1529.2539,1529.2539,1529.2539	84.95855,84.95855,84.95855	0.03823135,0.03823135,0.03823135	120.03731536865234,120.03731536865234,120.03731536865234	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	0,0,0	0,0,0	2,2,2	0,0,0	0,0,0	0,0,0	Gokhan Caglar,Sean Wiese,Art Beatte IV	0,231,916	1780,2011,2696	25/03/15-10/05/10,11/11/15-10/05/10,26/09/17-10/05/10	0,0,0	0,0,0	0,0,0	0,1916,2476	0,51,137	0,0,0	0,0,0	0,0,0	1781.json	Good
3110	3,3,17,18,18,18,18,18	3,3,13,13,13,13,13,13	3,3,13,14,14,14,14,14	0.0,0.0,0.07692307692307693,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142	0.9476492404937744,0.9476492404937744,0.20605634152889252,0.20881351828575134,0.20881351828575134,0.20881351828575134,0.20881351828575134,0.20881351828575134	0.9727856062081108,0.9727856062081108,0.0026056439397376483,0.0045595436691282885,0.0045595436691282885,0.0045595436691282885,0.0045595436691282885,0.0045595436691282885	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,3,3,3,3,3,3	1,1,3,3,3,3,3,3	1.89,1.89,4.17,5.24,5.24,5.24,5.24,5.24	0,0,2,2,2,2,2,2	0,0,4,4,4,4,4,4	0,0,4,4,4,4,4,4	9.0,9.0,28.0,28.0,28.0,28.0,28.0,28.0	2.0,2.0,15.0,15.0,15.0,15.0,15.0,15.0	10.0,10.0,62.0,62.0,62.0,62.0,62.0,62.0	2.0,2.0,23.0,23.0,23.0,23.0,23.0,23.0	11.0,11.0,43.0,43.0,43.0,43.0,43.0,43.0	12.0,12.0,85.0,85.0,85.0,85.0,85.0,85.0	41.51318,41.51318,461.2325,461.2325,461.2325,461.2325,461.2325,461.2325	4.5,4.5,21.466667,21.466667,21.466667,21.466667,21.466667,21.466667	186.80931,186.80931,9901.125,9901.125,9901.125,9901.125,9901.125,9901.125	10.378295,10.378295,550.0625,550.0625,550.0625,550.0625,550.0625,550.0625	0.013837727,0.013837727,0.15374418,0.15374418,0.15374418,0.15374418,0.15374418,0.15374418	133.59722900390625,133.59722900390625,96.86152648925781,95.66098022460938,95.66098022460938,95.66098022460938,95.66098022460938,95.66098022460938	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,3,3,3,3,3,3	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	Michael Marucheck,Michael Marucheck,Karthik Subramanyam,Chris Lang,Chris Lang,Gokhan Caglar,Sean Wiese,Art Beatte IV	0,25,89,189,190,1029,1260,1945	751,776,840,940,941,1780,2011,2696	30/05/12-10/05/10,24/06/12-10/05/10,27/08/12-10/05/10,05/12/12-10/05/10,06/12/12-10/05/10,25/03/15-10/05/10,11/11/15-10/05/10,26/09/17-10/05/10	0,0,15,1,0,0,0,0	0,0,16,2,0,0,0,0	0,0,526,25,0,0,0,0	0,34,7,23,42,1631,1916,2476	0,29,7,23,18,1328,51,137	0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0	0,0,1,0,0,0,0,0	2809.json	Bad
2081	6,6,6	3,3,3	6,6,6	0.0,0.0,0.0	0.21988624334335327,0.19154341518878937,0.19154341518878937	0.75427031871495,0.7601414167688942,0.7601414167688942	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	4.99,4.99,4.99	0,0,0	2,2,2	2,2,2	16.0,16.0,16.0	3.0,3.0,3.0	23.0,23.0,23.0	5.0,5.0,5.0	19.0,19.0,19.0	28.0,28.0,28.0	118.94197,118.94197,118.94197	13.333333,13.333333,13.333333	1585.893,1585.893,1585.893	88.10516,88.10516,88.10516	0.039647322,0.039647322,0.039647322	116.89459228515625,116.89459228515625,116.89459228515625	0,1,1	0,0,0	0,0,0	1,0,0	0,0,0	0,0,0	0,0,0	2,2,2	0,0,0	0,0,0	0,0,0	Gokhan Caglar,Sean Wiese,Art Beatte IV	0,231,916	1780,2011,2696	25/03/15-10/05/10,11/11/15-10/05/10,26/09/17-10/05/10	0,1,0	0,2,0	0,13,0	0,1916,2476	0,51,137	0,0,0	0,0,0	0,0,0	1139.json	Bad
2919	3,3,3,3	3,3,3,3	3,3,3,3	0.0,0.0,0.0,0.0	0.6254446506500244,0.6254446506500244,0.6254446506500244,0.6254446506500244	0.8948415346686686,0.8948415346686686,0.8948415346686686,0.8948415346686686	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	1,1,1,1	1,1,1,1	11.0,11.0,11.0,11.0	3.0,3.0,3.0,3.0	13.0,13.0,13.0,13.0	4.0,4.0,4.0,4.0	14.0,14.0,14.0,14.0	17.0,17.0,17.0,17.0	64.72504,64.72504,64.72504,64.72504	7.3333335,7.3333335,7.3333335,7.3333335	474.65027,474.65027,474.65027,474.65027	26.36946,26.36946,26.36946,26.36946	0.021575011,0.021575011,0.021575011,0.021575011	131.28770446777344,131.28770446777344,131.28770446777344,131.28770446777344	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	Chris Lang,Gokhan Caglar,Sean Wiese,Art Beatte IV	0,837,1069,1753	942,1780,2011,2696	07/12/12-10/05/10,25/03/15-10/05/10,11/11/15-10/05/10,26/09/17-10/05/10	0,0,0,0	0,0,0,0	0,0,0,0	0,1631,1916,2476	0,1328,51,137	0,0,0,0	0,0,0,0	0,0,0,0	2838.json	Good
2081	25,25,25,26,27,28,30	10,10,10,10,11,11,12	22,22,22,23,25,26,28	0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0	0.01639813743531704,0.01639813743531704,0.01639813743531704,0.012413550168275833,0.0019660284742712975,0.001727117458358407,8.288412354886532E-4	0.0011261166550044896,0.0011261166550044896,0.0011261166550044896,0.0011050356201705025,4.0258236900588894E-5,4.4250822992540495E-5,6.41900418760118E-6	2,2,2,2,2,2,2	1,1,1,1,1,1,1	3,3,3,3,3,3,3	2,2,2,2,2,2,2	2,2,2,2,2,2,2	4.16,4.16,4.16,4.15,4.15,4.15,4.14	1,1,1,1,1,1,1	5,5,5,5,6,6,7	4,4,4,4,4,4,4	25.0,25.0,25.0,25.0,25.0,25.0,25.0	16.0,16.0,16.0,16.0,18.0,18.0,20.0	76.0,76.0,76.0,77.0,90.0,91.0,99.0	32.0,32.0,32.0,33.0,39.0,40.0,45.0	41.0,41.0,41.0,41.0,43.0,43.0,45.0	108.0,108.0,108.0,110.0,129.0,131.0,144.0	578.6156,578.6156,578.6156,589.33075,699.98816,710.8407,790.82684	25.0,25.0,25.0,25.78125,27.083334,27.777779,28.125	14465.39,14465.39,14465.39,15193.684,18958.014,19745.576,22242.006	803.63275,803.63275,803.63275,844.0935,1053.223,1096.9764,1235.667	0.19287187,0.19287187,0.19287187,0.19644359,0.23332939,0.2369469,0.26360896	87.3897933959961,87.3897933959961,87.3897933959961,86.57425689697266,84.32868194580078,83.6133041381836,81.8582763671875	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1,1,1,1,1,1,1	0,0,0,0,0,0,0	0,0,0,0,0,0,0	3,3,3,3,3,3,3	4,4,4,4,5,5,6	0,0,0,0,0,0,0	0,0,0,0,0,0,0	Gokhan Caglar,Sean Wiese,Art Beatte IV,Calvin Mak,Calvin Mak,Xiaoyun Liu,Nacho Quintero Rizo	0,231,916,1275,1276,1461,1772	1780,2011,2696,3055,3056,3241,3552	25/03/15-10/05/10,11/11/15-10/05/10,26/09/17-10/05/10,20/09/18-10/05/10,21/09/18-10/05/10,25/03/19-10/05/10,30/01/20-10/05/10	0,0,0,3,3,1,3	0,0,0,5,5,1,4	0,0,0,97,256,22,117	0,1916,2476,23,1,26,18	0,51,137,23,1,26,18	0,0,0,0,0,0,0	0,0,0,0,0,0,1	0,0,0,0,0,0,0	1421.json	Ugly
1165	4	4	4	0.0	0.5675897002220154	0.9184667410884924	0	0	0	1	1	2.0	0	0	0	13.0	2.0	16.0	4.0	15.0	20.0	78.13781	13.0	1015.7915	56.43286	0.026045937	125.64796447753906	0	0	0	1	0	0	0	1	0	0	0	Art Beatte IV	0	2696	26/09/17-10/05/10	0	0	0	0	0	0	0	0	711.json	Good
757	6	6	6	0.0	0.6859204769134521	0.8105880313271756	1	1	2	2	2	2.75	1	1	1	16.0	4.0	22.0	5.0	20.0	27.0	116.692055	10.0	1166.9205	64.82892	0.03889735	116.7638931274414	0	0	0	1	1	0	0	1	0	0	0	Adam Liu	0	3104	08/11/18-10/05/10	0	0	0	0	0	0	0	0	2286.json	Good
