Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	Developers	ChangeAtMethodAge	ProjectAge	CommitDate-ProjectFirstDate	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file	ChangeValue	Type
1304	16,3,3	13,3,3	15,3,3	0.0,0.0,0.0	0.12171095609664917,9.649738785810769E-4,0.001218208926729858	8.228335244585334E-5,0.18577877533537335,0.17414638735065116	2,0,0	1,0,0	3,0,0	3,1,1	3,1,1	7.43,3.77,3.77	1,0,0	8,1,1	7,1,1	31.0,15.0,15.0	12.0,5.0,5.0	70.0,25.0,24.0	27.0,9.0,10.0	43.0,20.0,20.0	97.0,34.0,34.0	526.34766,146.94556,146.94556	34.875,13.5,15.0	18356.375,1983.765,2204.1833	1019.7986,110.20917,122.45463	0.17544922,0.048981853,0.048981853	93.85658264160156,127.02415466308594,127.02415466308594	0,0,0	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	3,3,3	3,0,0	1,0,0	1,0,0	Why you want to know,Nick Grealy,Andrii Karaivanskyi	0,90,444	524,614,968	09/11/16-04/06/15,07/02/17-04/06/15,27/01/18-04/06/15	0,2,1	0,17,2	0,451,7	0,15,133	0,15,133	0,0,0	0,1,1	0,1,1	2345.json	206	ugly
796	3	3	3	0.0	0.041130002588033676	0.3424805396256116	0	0	0	1	1	3.77	0	1	1	16.0	4.0	20.0	6.0	20.0	26.0	112.37013	12.0	1348.4417	74.91342	0.03745671	128.41912841796875	0	0	0	1	1	0	0	2	0	0	0	Sam Brannen	0	1033	02/04/18-04/06/15	0	0	0	0	0	0	0	0	2163.json	22	noise
1687	5,5,5,5,5,5,5,5,3,3,3,3	5,5,5,5,5,5,5,5,3,3,3,3	5,5,5,5,5,5,5,5,3,3,3,3	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.007302975747734308,0.007302975747734308,0.007302975747734308,0.0043092891573905945,0.0043092891573905945,0.0043092891573905945,0.003808604786172509,0.006492378655821085,0.0059084538370370865,0.0059084538370370865,0.0059084538370370865,0.002576796105131507	0.14447498502219316,0.14447498502219316,0.14447498502219316,0.05022989846025037,0.05022989846025037,0.05022989846025037,0.05176062746449748,0.15383766274918148,0.3723860999310134,0.3723860999310134,0.3723860999310134,0.3634666881469561	3,3,3,3,3,3,3,3,0,0,0,0	1,1,1,1,1,1,1,1,0,0,0,0	4,4,4,4,4,4,4,4,0,0,0,0	2,2,2,2,2,2,2,2,1,1,1,1	2,2,2,2,2,2,2,2,1,1,1,1	5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,3.77,3.77,3.77,3.77	1,1,1,1,1,1,1,1,0,0,0,0	2,2,2,3,3,3,3,2,1,1,1,1	2,2,2,3,3,3,3,2,1,1,1,1	17.0,17.0,17.0,21.0,21.0,21.0,21.0,17.0,13.0,13.0,13.0,13.0	5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0	28.0,28.0,28.0,33.0,33.0,33.0,33.0,28.0,22.0,22.0,22.0,20.0	10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,6.0,6.0,8.0	22.0,22.0,22.0,26.0,26.0,26.0,26.0,22.0,17.0,17.0,17.0,18.0	38.0,38.0,38.0,43.0,43.0,43.0,43.0,38.0,28.0,28.0,28.0,28.0	169.4584,169.4584,169.4584,202.11891,202.11891,202.11891,202.11891,169.4584,114.44896,114.44896,114.44896,116.757904	17.0,17.0,17.0,21.0,21.0,21.0,21.0,17.0,9.75,9.75,9.75,10.400001	2880.793,2880.793,2880.793,4244.497,4244.497,4244.497,4244.497,2880.793,1115.8773,1115.8773,1115.8773,1214.2822	160.04405,160.04405,160.04405,235.80539,235.80539,235.80539,235.80539,160.04405,61.993183,61.993183,61.993183,67.46012	0.056486133,0.056486133,0.056486133,0.06737297,0.06737297,0.06737297,0.06737297,0.056486133,0.038149655,0.038149655,0.038149655,0.0389193	117.77754974365234,117.77754974365234,117.77754974365234,116.86105346679688,116.86105346679688,116.86105346679688,116.86105346679688,117.77754974365234,128.3238067626953,128.3238067626953,128.3238067626953,128.21994018554688	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	3,3,3,3,3,3,3,3,3,3,3,3	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	Sam Brannen,Sam Brannen,Sam Brannen,Sam Brannen,Marc Philipp,Marc Philipp,Sam Brannen,Johannes Link,Sam Brannen,JUnit Team,JUnit Team,Why you want to know	0,0,0,1,3,3,3,4,56,238,240,382	142,142,142,143,145,145,145,146,198,380,382,524	24/10/15-04/06/15,24/10/15-04/06/15,24/10/15-04/06/15,25/10/15-04/06/15,27/10/15-04/06/15,27/10/15-04/06/15,27/10/15-04/06/15,28/10/15-04/06/15,19/12/15-04/06/15,18/06/16-04/06/15,20/06/16-04/06/15,09/11/16-04/06/15	0,0,0,2,0,0,1,2,1,0,0,1	0,0,0,4,0,0,2,4,4,0,0,2	0,0,0,83,0,0,12,40,51,0,0,19	0,38,38,35,51,55,4,6,29,250,596,269	0,0,0,35,0,7,4,6,29,0,0,242	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,1,0	2009.json	56	noise
1456	3,3,3	3,3,3	3,3,3	0.0,0.0,0.0	0.3403993844985962,0.3403993844985962,0.3403993844985962	0.6996910862067556,0.6996910862067556,0.6996910862067556	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	3.77,3.77,3.77	0,0,0	0,0,0	0,0,0	15.0,15.0,15.0	2.0,2.0,2.0	16.0,16.0,16.0	4.0,4.0,4.0	17.0,17.0,17.0	20.0,20.0,20.0	81.74926,81.74926,81.74926	15.0,15.0,15.0	1226.2389,1226.2389,1226.2389	68.12438,68.12438,68.12438	0.027249753,0.027249753,0.027249753	130.07347106933594,130.07347106933594,130.07347106933594	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	1,1,1	1,1,1	0,0,0	0,0,0	0,0,0	Sam Brannen,JUnit Team,JUnit Team	0,8,9	373,381,382	11/06/16-04/06/15,19/06/16-04/06/15,20/06/16-04/06/15	0,0,0	0,0,0	0,0,0	0,317,596	0,1,0	0,0,0	0,0,0	0,1,1	1688.json	113	noise
1304	3,5	3,5	3,5	0.0,0.0	0.004074873402714729,0.04402801766991615	0.4637831469357324,0.44095398769184896	0,2	0,1	0,3	1,2	1,2	3.77,5.99	0,1	1,1	1,1	12.0,14.0	4.0,4.0	21.0,23.0	6.0,8.0	16.0,18.0	27.0,31.0	108.0,129.26768	9.0,14.0	972.0,1809.7476	54.0,100.541534	0.036,0.04308923	128.62539672851562,119.185302734375	0,0	0,0	0,0	0,0	1,1	0,0	0,0	3,3	0,0	0,0	0,0	Why you want to know,Andrii Karaivanskyi	0,444	524,968	09/11/16-04/06/15,27/01/18-04/06/15	0,3	0,4	0,44	0,133	0,133	0,0	0,1	0,1	2362.json	0	good
456	3	3	3	0.0	0.3282619118690491	0.5082103343508875	0	0	0	1	1	3.77	0	0	0	14.0	4.0	19.0	5.0	18.0	24.0	100.0782	8.75	875.68427	48.649124	0.0333594	129.0215301513672	0	0	0	1	1	0	0	0	0	0	0	Marc Philipp	0	1372	07/03/19-04/06/15	0	0	0	0	0	0	0	0	962.json	0	good
380	9	9	9	0.0	0.01894235610961914	0.0010315714249792645	1	1	2	2	2	4.53	1	4	4	26.0	9.0	52.0	17.0	35.0	69.0	353.92053	24.555555	8690.715	482.8175	0.117973514	104.42578887939453	1	0	0	0	1	0	0	1	2	0	0	Christian Stein	0	1449	23/05/19-04/06/15	0	0	0	0	0	0	0	0	1802.json	445	ugly
8	4	3	4	0.0	9.975061984732747E-4	0.15128197753973485	0	0	0	1	1	6.63	0	1	1	16.0	5.0	29.0	8.0	21.0	37.0	162.51575	12.8	2080.2017	115.56676	0.054171916	121.84000396728516	0	0	0	1	1	0	0	3	0	0	0	Christian Stein	0	1821	29/05/20-04/06/15	0	0	0	0	0	0	0	0	2052.json	0	good
1304	3,3	3,3	3,3	0.0,0.0	0.40787890553474426,0.5040105581283569	0.7711466696707695,0.7514340409290838	0,0	0,0	0,0	1,1	1,1	3.77,3.77	0,0	1,1	1,1	11.0,11.0	2.0,3.0	16.0,15.0	3.0,4.0	13.0,14.0	19.0,19.0	70.30836,72.339745	8.25,7.3333335	580.04395,530.49146	32.224663,29.471748	0.02343612,0.024113249	130.85745239257812,130.70933532714844	0,0	0,0	0,0	0,0	1,1	0,0	0,0	1,1	0,0	0,0	0,0	Why you want to know,Andrii Karaivanskyi	0,444	524,968	09/11/16-04/06/15,27/01/18-04/06/15	0,1	0,2	0,7	0,133	0,133	0,0	0,1	0,1	1789.json	6	bad
1485	3,3,3,3	3,3,3,3	3,3,3,3	0.0,0.0,0.0,0.0	0.8465427160263062,0.8790116906166077,0.8790116906166077,0.8790116906166077	0.830312418292455,0.76854947404802,0.76854947404802,0.76854947404802	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	3.77,3.77,3.77,3.77	0,0,0,0	1,2,2,2	1,2,2,2	10.0,12.0,12.0,12.0	3.0,2.0,2.0,2.0	12.0,15.0,15.0,15.0	3.0,2.0,2.0,2.0	13.0,14.0,14.0,14.0	15.0,17.0,17.0,17.0	55.506596,64.72504,64.72504,64.72504	5.0,6.0,6.0,6.0	277.533,388.35022,388.35022,388.35022	15.418499,21.575012,21.575012,21.575012	0.018502198,0.021575011,0.021575011,0.021575011	132.086669921875,131.28770446777344,131.28770446777344,131.28770446777344	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	Stefan Bechtold,Sam Brannen,JUnit Team,JUnit Team	0,8,37,38	344,352,381,382	13/05/16-04/06/15,21/05/16-04/06/15,19/06/16-04/06/15,20/06/16-04/06/15	0,2,0,0	0,4,0,0	0,15,0,0	0,9,317,596	0,9,1,0	0,0,0,0	0,0,0,0	0,0,1,1	926.json	0	good
