Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	Developers	ChangeAtMethodAge	ProjectAge	CommitDate-ProjectFirstDate	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file	ChangeValue	Type
5167	3,3,3,10,4,5,4,10,4	3,3,3,7,3,5,3,7,3	3,3,3,8,3,5,3,8,4	0.0,0.0,0.0,0.125,0.3333333333333333,0.0,0.3333333333333333,0.125,0.0	0.8719053268432617,0.8719053268432617,0.8719053268432617,0.6238076090812683,0.9430140852928162,0.3768611550331116,0.9374545812606812,0.6238076090812683,0.5067274570465088	0.8694262297558394,0.8694262297558394,0.8694262297558394,0.2972269616889983,0.6025529744110657,0.6205250258753869,0.6498816626279517,0.2972269616889983,0.7138844582068966	0,0,0,3,0,1,0,3,0	0,0,0,2,0,1,0,2,0	0,0,0,5,0,2,0,5,0	1,1,1,4,1,2,1,4,1	1,1,1,4,1,2,1,4,1	3.77,3.77,3.77,7.33,4.0,5.99,4.0,7.33,9.8	0,0,0,0,0,0,0,0,0	0,0,0,4,2,2,2,4,2	0,0,0,4,2,2,2,4,1	10.0,10.0,10.0,17.0,15.0,14.0,14.0,17.0,12.0	3.0,3.0,3.0,6.0,2.0,4.0,2.0,6.0,3.0	11.0,11.0,11.0,37.0,19.0,22.0,18.0,37.0,18.0	3.0,3.0,3.0,10.0,4.0,6.0,4.0,10.0,5.0	13.0,13.0,13.0,23.0,17.0,18.0,16.0,23.0,15.0	14.0,14.0,14.0,47.0,23.0,28.0,22.0,47.0,23.0	51.806156,51.806156,51.806156,212.6074,94.01165,116.757904,88.0,212.6074,89.85848	5.0,5.0,5.0,14.166666,15.0,10.5,14.0,14.166666,10.0	259.0308,259.0308,259.0308,3011.9382,1410.1748,1225.958,1232.0,3011.9382,898.58484	14.390599,14.390599,14.390599,167.3299,78.34305,68.10878,68.44444,167.3299,49.92138	0.01726872,0.01726872,0.01726872,0.07086913,0.031337216,0.0389193,0.029333333,0.07086913,0.029952828	132.4454345703125,132.4454345703125,132.4454345703125,108.52391815185547,129.34671020507812,119.71456909179688,129.69032287597656,108.52391815185547,124.92120361328125	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1	0,0,0,1,0,0,0,1,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	dsaff,dsaff,dsaff,kbeck,David Saff,David Saff,David Saff,dsaff,David Saff	0,279,660,1002,1402,1405,1419,1509,1884	1900,2179,2560,2902,3302,3305,3319,3409,3784	15/02/06-03/12/00,21/11/06-03/12/00,07/12/07-03/12/00,13/11/08-03/12/00,18/12/09-03/12/00,21/12/09-03/12/00,04/01/10-03/12/00,05/04/10-03/12/00,15/04/11-03/12/00	0,0,0,10,2,1,1,8,2	0,0,0,13,10,7,2,10,10	0,0,0,248,196,55,58,197,203	0,170,283,9,10,5,6,12,10	0,0,16,9,10,5,6,12,10	0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,1	0,0,0,1,0,0,0,0,1	801.json	754	ugly
5167	3,3,3,3,3	3,3,3,3,3	3,3,3,3,3	0.0,0.0,0.0,0.0,0.0	0.7584370970726013,0.7584370970726013,0.7584370970726013,0.7712693810462952,0.7568452954292297	0.9182310584041892,0.9182310584041892,0.9182310584041892,0.9544891014646318,0.9534921305129046	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1,1,1,1,1	3.77,3.77,3.77,1.89,1.89	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	9.0,9.0,9.0,9.0,9.0	2.0,2.0,2.0,2.0,2.0	10.0,10.0,10.0,10.0,10.0	2.0,2.0,2.0,2.0,2.0	11.0,11.0,11.0,11.0,11.0	12.0,12.0,12.0,12.0,12.0	41.51318,41.51318,41.51318,41.51318,41.51318	4.5,4.5,4.5,4.5,4.5	186.80931,186.80931,186.80931,186.80931,186.80931	10.378295,10.378295,10.378295,10.378295,10.378295	0.013837727,0.013837727,0.013837727,0.013837727,0.013837727	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	dsaff,dsaff,dsaff,Alex Yursha,Marc Philipp	0,279,660,3043,3139	1900,2179,2560,4943,5039	15/02/06-03/12/00,21/11/06-03/12/00,07/12/07-03/12/00,17/06/14-03/12/00,21/09/14-03/12/00	0,0,0,1,1	0,0,0,2,2	0,0,0,18,2	0,170,283,149,24	0,0,16,149,24	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	711.json	0	good
2035	3	3	3	0.0	0.8875468969345093	0.9801497170056057	0	0	0	1	1	1.89	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	1	0	0	0	0	0	0	0	0	0	Kevin Cooney	0	5032	14/09/14-03/12/00	0	0	0	0	0	0	0	0	213.json	0	good
5647	3,3,3	3,3,3	3,3,3	0.0,0.0,0.0	0.6435434818267822,0.6435434818267822,0.6435434818267822	0.5759034309095464,0.5759034309095464,0.5759034309095464	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	3.77,3.77,3.77	0,0,0	2,2,2	2,2,2	14.0,14.0,14.0	3.0,3.0,3.0	18.0,18.0,18.0	3.0,3.0,3.0	17.0,17.0,17.0	21.0,21.0,21.0	85.83672,85.83672,85.83672	7.0,7.0,7.0	600.85706,600.85706,600.85706	33.380947,33.380947,33.380947	0.028612241,0.028612241,0.028612241	129.81976318359375,129.81976318359375,129.81976318359375	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	kbeck,dsaff,dsaff	0,758,1139	1420,2179,2560	24/10/04-03/12/00,21/11/06-03/12/00,07/12/07-03/12/00	0,0,0	0,0,0	0,0,0	0,170,283	0,0,16	0,0,0	0,0,0	0,0,0	944.json	0	good
2620	3,3	3,3	3,3	0.0,0.0	0.3848784565925598,0.38446512818336487	0.5727601463587318,0.5366547862033374	0,0	0,0	0,0	1,1	1,1	1.89,1.89	0,0	1,1	1,1	14.0,14.0	5.0,5.0	18.0,18.0	5.0,5.0	19.0,19.0	23.0,23.0	97.70234,97.70234	7.0,7.0	683.9164,683.9164	37.995354,37.995354	0.032567445,0.032567445	129.14646911621094,129.14646911621094	0,0	1,1	0,0	0,0	0,0	0,0	0,0	1,1	0,0	0,0	0,0	pimterry,Alex Yursha	0,496	4447,4943	05/02/13-03/12/00,17/06/14-03/12/00	0,1	0,2	0,12	0,149	0,149	0,0	0,0	0,0	391.json	12	bad
2268	4	3	4	0.0	0.22230665385723114	0.7637634920073748	0	0	0	1	1	3.32	0	1	1	15.0	4.0	17.0	6.0	19.0	23.0	97.70234	11.25	1099.1514	61.063965	0.032567445	124.48601531982422	0	0	0	0	0	0	0	2	0	0	0	Stefan Birkner	0	4799	23/01/14-03/12/00	0	0	0	0	0	0	0	0	847.json	0	good
2123	3,3	3,3	3,3	0.0,0.0	0.5759856700897217,0.5271756052970886	0.9447309718359141,0.9375391556427131	0,0	0,0	0,0	1,1	1,1	1.89,1.89	0,0	0,0	0,0	10.0,10.0	1.0,1.0	14.0,14.0	1.0,1.0	11.0,11.0	15.0,15.0	51.891476,51.891476	5.0,5.0	259.45737,259.45737	14.414298,14.414298	0.017297158,0.017297158	132.43687438964844,132.43687438964844	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	Rowan Hill,Rowan Hill	0,0	4944,4944	18/06/14-03/12/00,18/06/14-03/12/00	0,2	0,4	0,12	0,17	0,1	0,0	0,0	0,0	101.json	12	bad
2875	6,7	5,6	5,6	0.0,0.0	0.8356508612632751,0.8035934567451477	0.543565067189711,0.7615539091281133	1,1	1,1	2,2	2,2	2,2	5.99,2.75	0,1	1,1	1,1	15.0,15.0	3.0,3.0	24.0,25.0	7.0,7.0	18.0,18.0	31.0,32.0	129.26768,133.4376	17.5,17.5	2262.1846,2335.1582	125.67692,129.73102	0.04308923,0.044479202	119.185302734375,116.06659698486328	1,1	0,0	0,0	0,0	1,1	0,0	0,0	2,2	0,0	0,0	0,0	plasticle,Arjan Wulder	0,130	4192,4322	27/05/12-03/12/00,04/10/12-03/12/00	0,7	0,13	0,48	0,125	0,125	0,0	0,0	0,1	462.json	48	noise
4666	3,11,12,11,11,12	3,12,12,12,12,13	3,10,10,10,10,11	0.0,0.0,0.1,0.0,0.0,0.0	0.383090078830719,0.4628491699695587,0.44946426153182983,0.5178945064544678,0.3600594997406006,0.34107083082199097	0.2687753287438432,0.004520423592406928,0.024722233671904178,0.022306263138557488,0.01411823538139375,0.01677010217054296	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	1,1,1,1,1,1	3.77,8.16,8.42,8.16,4.08,3.92	0,1,1,1,1,1	4,5,3,3,4,4	4,5,3,3,4,4	18.0,28.0,27.0,27.0,28.0,29.0	4.0,8.0,7.0,7.0,8.0,8.0	23.0,54.0,48.0,48.0,53.0,54.0	5.0,13.0,11.0,11.0,12.0,12.0	22.0,36.0,34.0,34.0,36.0,37.0	28.0,67.0,59.0,59.0,65.0,66.0	124.86409,346.38498,300.1603,300.1603,336.04514,343.82394	11.25,22.75,21.214285,21.214285,21.0,21.75	1404.7211,7880.2583,6367.6865,6367.6865,7056.9478,7478.171	78.04006,437.7921,353.76038,353.76038,392.05264,415.45395	0.041621365,0.11546166,0.10005344,0.10005344,0.112015046,0.11460798	127.87090301513672,103.06085968017578,103.80567169189453,103.80567169189453,103.21844482421875,101.555419921875	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	1,1,1,1,1,1	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	dsaff,dsaff,dsaff,dsaff,Alberto Scotto,Kevin Cooney	0,7,158,158,3366,3443	2401,2408,2560,2560,5767,5845	02/07/07-03/12/00,09/07/07-03/12/00,07/12/07-03/12/00,07/12/07-03/12/00,18/09/16-03/12/00,04/12/16-03/12/00	0,10,4,1,3,1	0,12,7,3,6,1	0,248,114,56,155,22	0,7,283,9,5,5	0,7,16,9,5,5	0,0,0,0,0,0	0,0,0,0,1,1	0,0,0,0,1,1	454.json	418	ugly
6575	3,3,3,3	3,3,3,3	3,3,3,3	0.0,0.0,0.0,0.0	0.8745365738868713,0.8612971305847168,0.8612971305847168,0.8612971305847168	0.9333357391945092,0.9213346591468916,0.9213346591468916,0.9213346591468916	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	3.77,3.77,3.77,3.77	0,0,0,0	0,0,0,0	0,0,0,0	9.0,9.0,9.0,9.0	2.0,2.0,2.0,2.0	10.0,10.0,10.0,10.0	2.0,2.0,2.0,2.0	11.0,11.0,11.0,11.0	12.0,12.0,12.0,12.0	41.51318,41.51318,41.51318,41.51318	4.5,4.5,4.5,4.5	186.80931,186.80931,186.80931,186.80931	10.378295,10.378295,10.378295,10.378295	0.013837727,0.013837727,0.013837727,0.013837727	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	0,0,0,0	1,0,0,0	0,0,0,0	0,1,1,1	0,0,0,0	0,0,0,0	0,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	kbeck,kbeck,dsaff,dsaff	0,2,1686,2067	492,494,2179,2560	10/04/02-03/12/00,12/04/02-03/12/00,21/11/06-03/12/00,07/12/07-03/12/00	0,1,0,0	0,2,0,0	0,7,0,0	0,8,170,283	0,8,0,16	0,0,0,0	0,0,0,0	0,0,0,0	940.json	7	bad
