Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	Developers	ChangeAtMethodAge	ProjectAge	CommitDate-ProjectFirstDate	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file	ChangeValue	Type
1539	6,15,15,20,10,10,9,9,6,11	5,11,11,14,8,8,7,7,5,8	6,15,15,20,10,10,9,9,6,10	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.15829017758369446,0.0045400685630738735,0.004596858285367489,7.083225063979626E-4,0.016481518745422363,0.018459191545844078,0.09167489409446716,0.19666831195354462,0.3721817433834076,0.19059337675571442	0.26248987911270316,0.0022102611090775194,0.0024823141875917245,4.987825575358488E-4,0.04065183107297513,0.03937663246922106,0.09728608055285619,0.18031702954356932,0.3183118880894728,0.1784328140715149	0,3,3,4,1,1,1,1,0,1	0,3,3,4,1,1,1,1,0,1	0,6,6,8,2,2,2,2,0,2	1,3,3,4,2,2,2,2,1,2	1,3,3,4,2,2,2,2,1,2	4.0,6.95,6.95,6.25,4.8,4.8,5.03,5.03,4.0,4.8	0,2,2,2,1,1,1,1,0,1	5,13,13,17,9,9,7,6,4,7	5,10,10,12,7,7,7,6,4,7	17.0,28.0,28.0,30.0,21.0,21.0,21.0,20.0,17.0,21.0	4.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0	28.0,68.0,68.0,85.0,47.0,47.0,40.0,37.0,27.0,41.0	8.0,14.0,14.0,17.0,11.0,11.0,9.0,8.0,7.0,9.0	21.0,34.0,33.0,35.0,25.0,25.0,25.0,24.0,21.0,25.0	36.0,82.0,82.0,102.0,58.0,58.0,49.0,45.0,34.0,50.0	158.12343,417.17197,413.64032,523.1869,269.34366,269.34366,227.54895,206.3233,149.33879,232.19281	17.0,32.666664,39.2,51.0,28.875,28.875,23.625,20.0,14.875,23.625	2688.0984,13627.616,16214.701,26682.531,7777.2983,7777.2983,5375.8438,4126.466,2221.4146,5485.555	149.3388,757.0898,900.8167,1482.3628,432.07214,432.07214,298.658,229.24811,123.41192,304.75305	0.05270781,0.13905732,0.1378801,0.17439564,0.08978122,0.08978122,0.07584965,0.06877443,0.049779598,0.0773976	115.4139404296875,95.06539154052734,95.10960388183594,88.9974594116211,104.13898468017578,104.13898468017578,106.72266387939453,107.23184967041016,115.71116638183594,104.9107666015625	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	Zenexer,snowleo,snowleo,snowleo,snowleo,KHobbits,KHobbits,snowleo,KHobbits,KHobbits	0,33,64,108,108,188,220,236,358,802	10,43,74,118,118,198,230,246,368,812	29/03/11-19/03/11,01/05/11-19/03/11,01/06/11-19/03/11,15/07/11-19/03/11,15/07/11-19/03/11,03/10/11-19/03/11,04/11/11-19/03/11,20/11/11-19/03/11,21/03/12-19/03/11,08/06/13-19/03/11	0,10,1,4,2,2,0,1,1,5	0,11,2,4,14,4,1,2,5,5	0,218,8,96,218,6,39,14,54,110	0,185,61,5,20,4,1,5,13,1	0,185,61,5,20,4,1,5,13,1	0,0,1,0,0,0,0,0,0,0	0,0,1,0,0,0,0,1,0,0	0,0,1,0,0,0,0,1,0,0	1931.json	0	good
1493	10,10,9,9,8,9,9,9,12,13	7,7,6,6,6,7,7,7,10,10	10,10,8,8,8,9,9,9,12,13	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.03335881605744362,0.033819716423749924,0.01636090688407421,0.004695338197052479,3.679807123262435E-4,1.2677392805926502E-4,0.0,0.0,0.0,2.8595305047929287E-4	0.008208151067643539,0.007846750068052182,4.40648679412322E-4,1.7339694915097066E-4,6.241641349895892E-5,8.451315653670695E-6,5.629489004473306E-6,5.604262072553515E-6,1.1797864092858589E-7,7.402351943298747E-7	3,3,3,3,3,3,3,3,4,4	2,2,2,2,2,2,2,2,3,3	5,5,5,5,5,5,5,5,7,7	3,3,2,2,2,2,2,2,3,3	3,3,2,2,2,2,2,2,3,3	7.84,7.84,5.29,5.29,5.29,5.03,5.03,5.03,5.12,4.92	2,2,1,1,1,1,1,1,1,1	8,8,13,14,15,18,19,19,24,21	7,7,9,10,11,14,15,15,19,19	21.0,21.0,25.0,26.0,27.0,30.0,31.0,31.0,35.0,35.0	8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,9.0	49.0,49.0,62.0,66.0,69.0,79.0,82.0,82.0,102.0,93.0	16.0,16.0,15.0,16.0,16.0,18.0,18.0,18.0,23.0,23.0	29.0,29.0,33.0,34.0,35.0,38.0,38.0,38.0,43.0,44.0	65.0,65.0,77.0,82.0,85.0,97.0,100.0,100.0,125.0,116.0	315.76877,315.76877,388.41833,417.17197,435.98904,509.04898,524.7928,524.7928,678.2831,633.29407	21.0,21.0,23.4375,26.0,27.0,33.75,39.857143,39.857143,50.3125,44.72222	6631.144,6631.144,9103.555,10846.471,11771.704,17180.402,20916.742,20916.742,34126.117,28322.318	368.39688,368.39688,505.75305,602.5817,653.9836,954.4668,1162.0413,1162.0413,1895.8954,1573.4622	0.10525626,0.10525626,0.12947278,0.13905732,0.14532968,0.169683,0.17493093,0.17493093,0.22609437,0.21109802	103.08206939697266,103.08206939697266,105.85021209716797,105.47885131835938,105.24943542480469,102.53572845458984,102.3773422241211,102.3773422241211,96.15277862548828,95.21295928955078	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	snowleo,snowleo,snowleo,snowleo,KHobbits,snowleo,snowleo,KHobbits,snowleo,Iaccidentally	0,1,67,108,134,187,250,321,520,907	56,57,123,164,190,243,306,377,576,963	14/05/11-19/03/11,15/05/11-19/03/11,20/07/11-19/03/11,30/08/11-19/03/11,25/09/11-19/03/11,17/11/11-19/03/11,19/01/12-19/03/11,30/03/12-19/03/11,15/10/12-19/03/11,06/11/13-19/03/11	0,1,5,1,1,1,1,1,3,2	0,2,11,2,3,1,2,2,3,4	0,13,108,28,20,68,27,4,118,51	0,2,9,32,38,5,33,9,4,38	0,2,9,32,38,5,27,9,4,38	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,1	0,0,0,0,0,0,0,0,0,1	1779.json	0	good
355	4	3	4	0.0	0.1093481108546257	0.6658523065823764	0	0	0	1	1	3.46	0	1	1	14.0	3.0	16.0	4.0	17.0	20.0	81.74926	9.333334	762.99316	42.388508	0.027249753	125.41301727294922	0	0	0	1	0	0	0	1	0	0	0	KHobbits	0	1194	25/06/14-19/03/11	0	0	0	0	0	0	0	0	1318.json	6	bad
1245	3	3	3	0.0	0.015301769599318504	0.7821952712450951	0	0	0	1	1	1.89	0	1	1	12.0	3.0	16.0	4.0	15.0	20.0	78.13781	8.0	625.1025	34.727917	0.026045937	130.30841064453125	0	0	0	1	0	0	0	1	0	0	0	KHobbits	0	303	16/01/12-19/03/11	0	0	0	0	0	0	0	0	1198.json	155	noise
973	4	3	4	0.0	0.06792113184928894	0.8800741745841939	0	0	0	1	1	3.46	0	0	0	12.0	2.0	13.0	4.0	14.0	17.0	64.72504	12.0	776.70044	43.150024	0.021575011	126.62725830078125	0	0	0	1	0	0	1	1	0	0	0	snowleo	0	576	15/10/12-19/03/11	0	0	0	0	0	0	0	0	1875.json	0	good
1407	4	3	4	0.0	0.12070903927087784	0.5146578068113349	0	0	0	1	1	3.46	0	3	2	14.0	3.0	22.0	5.0	17.0	27.0	110.361496	11.666666	1287.5507	71.530594	0.036787163	123.85247039794922	0	0	0	1	0	0	0	2	0	0	0	snowleo	0	142	08/08/11-19/03/11	0	0	0	0	0	0	0	0	796.json	0	good
556	35,35,35,40,40	23,23,23,26,26	34,34,34,38,38	0.0,0.0,0.0,0.0,0.0	0.0015781292458996177,0.001963584451004863,0.0012005813186988235,0.002037454629316926,0.002045602072030306	1.823302751307507E-9,8.016836572698774E-9,8.083749043752493E-9,1.646487468561103E-9,1.66392350125341E-9	3,2,2,3,3	3,2,2,3,3	6,4,4,6,6	5,5,5,6,6	5,5,5,6,6	12.0,12.0,12.0,11.79,11.79	4,4,4,4,4	13,13,13,14,14	9,9,9,10,10	39.0,38.0,38.0,41.0,41.0	22.0,21.0,21.0,21.0,21.0	121.0,118.0,118.0,131.0,131.0	60.0,57.0,57.0,60.0,60.0	61.0,59.0,59.0,62.0,62.0	181.0,175.0,175.0,191.0,191.0	1073.4635,1029.4625,1029.4625,1137.2515,1137.2515	53.18182,51.571426,51.571426,58.57143,58.57143	57088.742,53090.85,53090.85,66610.445,66610.445	3171.5967,2949.4917,2949.4917,3700.5803,3700.5803	0.35782117,0.34315416,0.34315416,0.3790838,0.3790838	76.43400573730469,76.65164184570312,76.65164184570312,74.10198211669922,74.10198211669922	1,1,1,1,1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	5,5,5,5,5	4,4,4,4,4	1,0,0,0,0	1,0,0,0,0	KHobbits,KHobbits,KHobbits,KHobbits,FearFree	0,2,2,66,105	992,994,994,1058,1098	05/12/13-19/03/11,07/12/13-19/03/11,07/12/13-19/03/11,09/02/14-19/03/11,21/03/14-19/03/11	0,1,5,6,1	0,2,10,7,2	0,21,42,71,2	0,2,2,2,374	0,2,2,2,374	0,0,0,0,0	0,0,0,1,0	0,0,0,1,0	940.json	146	noise
625	26,23,23,23,23,28	18,15,15,15,15,19	26,23,23,23,23,28	0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0	9.256120485461709E-7,5.856361860124377E-7,5.80929908733098E-7,6.023123043243499E-7,2.495197468241016E-7,6.1618916709191986E-9	6,6,6,6,6,8	3,3,3,3,3,4	9,9,9,9,9,12	4,4,4,4,4,5	4,4,4,4,4,5	5.23,5.09,5.09,5.09,5.09,5.74	3,3,3,3,3,3	18,15,15,15,16,21	9,8,8,8,8,8	31.0,30.0,30.0,30.0,30.0,31.0	10.0,10.0,10.0,10.0,10.0,11.0	110.0,104.0,104.0,104.0,108.0,131.0	36.0,39.0,39.0,39.0,40.0,47.0	41.0,40.0,40.0,40.0,40.0,42.0	146.0,143.0,143.0,143.0,148.0,178.0	782.2026,761.0357,761.0357,761.0357,787.6453,959.83246	55.8,58.5,58.5,58.5,60.0,66.22728	43646.902,44520.59,44520.59,44520.59,47258.72,63567.094	2424.828,2473.3662,2473.3662,2473.3662,2625.4844,3531.5051	0.2607342,0.25367856,0.25367856,0.25367856,0.26254845,0.31994414	82.65584564208984,84.78465270996094,84.78465270996094,84.78465270996094,84.60594177246094,80.16114044189453	0,0,0,0,0,0	1,1,1,1,1,1	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	4,4,4,4,4,4	1,1,1,1,1,2	0,0,0,0,0,0	0,0,0,0,0,0	KHobbits,KHobbits,KHobbits,FearFree,KHobbits,KHobbits	0,6,18,174,287,287	924,930,942,1098,1211,1211	28/09/13-19/03/11,04/10/13-19/03/11,16/10/13-19/03/11,21/03/14-19/03/11,12/07/14-19/03/11,12/07/14-19/03/11	0,3,1,4,1,5	0,9,2,8,2,5	0,104,5,8,27,156	0,10,230,374,1,1	0,6,230,374,1,1	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	976.json	19	noise
1534	4,5	4,4	4,5	0.0,0.0	0.4870589077472687,0.21263498067855835	0.775069412223441,0.6259196302598737	0,0	0,0	0,0	1,1	1,1	4.0,3.92	0,0	3,5	3,4	12.0,13.0	3.0,3.0	19.0,25.0	4.0,4.0	15.0,16.0	23.0,29.0	89.85848,116.0	8.0,8.666667	718.86786,1005.3334	39.937103,55.851852	0.029952828,0.038666666	124.92120361328125,119.97843933105469	0,0	0,0	0,0	1,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	snowleo,KHobbits	0,826	15,841	03/04/11-19/03/11,07/07/13-19/03/11	0,2	0,4	0,31	0,40	0,40	0,0	0,0	0,0	1068.json	10	bad
1549	21,21,14,16	21,21,14,15	21,21,14,15	0.0,0.0,0.0,0.0	1.1376988550182432E-4,1.3517923071049154E-4,0.0015021159779280424,0.0014587999321520329	3.5140289855249776E-6,3.9544938624890064E-7,6.806689796068188E-4,4.885675370007233E-4	5,4,1,1	3,3,1,1	8,7,2,2	5,5,3,3	5,5,3,3	5.09,10.18,6.18,6.95	4,4,2,2	5,5,3,3	4,4,3,3	23.0,26.0,22.0,22.0	17.0,17.0,11.0,12.0	88.0,92.0,60.0,63.0	46.0,46.0,28.0,31.0	40.0,43.0,33.0,34.0	134.0,138.0,88.0,94.0	713.13837,748.8245,443.90668,478.22153	31.117647,35.17647,28.0,28.416666	22191.188,26341.004,12429.387,13589.461	1232.8438,1463.3892,690.5215,754.97003	0.23771279,0.24960817,0.14796889,0.15940717	86.36642456054688,86.11251068115234,95.86007690429688,94.3552017211914	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	2,2,2,2	2,2,2,2	0,0,0,0	0,0,0,0	snowleo,ElgarL,ElgarL,ElgarL	0,250,251,709	0,250,251,709	19/03/11-19/03/11,24/11/11-19/03/11,25/11/11-19/03/11,25/02/13-19/03/11	0,2,2,1	0,4,11,1	0,274,261,34	0,2,12,2	0,2,12,2	0,0,0,0	0,0,0,1	0,0,0,1	2668.json	58	noise
