Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	Developers	ChangeAtMethodAge	ProjectAge	CommitDate-ProjectFirstDate	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file	ChangeValue	Type
799	21,21,21	20,20,20	20,20,20	0.0,0.0,0.0	0.09909573197364807,0.0655556172132492,0.0655556172132492	0.013009139986463636,0.008844800195790627,0.008844800195790627	4,5,5	4,5,5	8,10,10	4,4,4	4,4,4	3.49,3.49,3.49	2,2,2	3,3,3	3,3,3	26.0,26.0,26.0	12.0,12.0,12.0	68.0,70.0,70.0	25.0,25.0,25.0	38.0,38.0,38.0	93.0,95.0,95.0	488.05728,498.55313,498.55313	27.083332,27.083332,27.083332	13218.218,13502.48,13502.48	734.34546,750.1378,750.1378	0.16268577,0.16618438,0.16618438	89.35888671875,89.24824523925781,89.24824523925781	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	1,1,1	2,2,2	0,0,0	0,0,0	David Karnok,David Karnok,David Karnok	0,123,474	2233,2356,2707	29/04/18-18/03/12,30/08/18-18/03/12,16/08/19-18/03/12	0,1,0	0,2,0	0,20,0	0,6,7746	0,6,1943	0,0,0	0,1,1	0,1,1	2054.json	0	good
1402	3,3	3,3	3,3	0.0,0.0	0.9353092312812805,0.985375702381134	0.9758855568519839,0.9722282884668194	0,0	0,0	0,0	1,1	1,1	1.89,1.89	0,0	0,0	0,0	9.0,10.0	2.0,2.0	10.0,11.0	2.0,2.0	11.0,12.0	12.0,13.0	41.51318,46.604515	4.5,5.0	186.80931,233.02258	10.378295,12.945699	0.013837727,0.015534839	133.59722900390625,132.9956512451172	0,0	0,0	0,0	1,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	David Karnok,David Karnok	0,1077	1630,2707	03/09/16-18/03/12,16/08/19-18/03/12	0,1	0,2	0,10	0,7746	0,1943	0,0	0,1	0,1	3049.json	0	good
1357	43,44,44,45,45	35,36,36,37,37	35,36,36,37,37	0.0,0.0,0.0,0.0,0.0	0.5763493776321411,0.5202585458755493,0.47954118251800537,0.4556599259376526,0.4556599259376526	5.560916482350286E-4,2.7847855899658397E-4,2.672255933697479E-4,1.4270900245373538E-4,1.4270900245373538E-4	8,8,8,8,8	4,4,4,4,4	12,12,12,12,12	8,8,8,8,8	8,8,8,8,8	4.61,4.65,4.65,4.67,4.67	3,3,3,3,3	10,11,11,11,11	9,9,9,9,9	37.0,37.0,37.0,37.0,37.0	15.0,16.0,16.0,18.0,18.0	119.0,123.0,123.0,125.0,125.0	36.0,37.0,37.0,39.0,39.0	52.0,53.0,53.0,55.0,55.0	155.0,160.0,160.0,164.0,164.0	883.5682,916.4673,916.4673,948.143,948.143	44.4,42.78125,42.78125,40.083336,40.083336	39230.43,39207.617,39207.617,38004.734,38004.734	2179.4683,2178.201,2178.201,2111.374,2111.374	0.29452273,0.3054891,0.3054891,0.31604767,0.31604767	76.28672790527344,75.6402587890625,75.6402587890625,75.01969909667969,75.01969909667969	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	6,6,6,6,6	0,0,0,0,0	0,0,0,0,0	David Karnok,David Karnok,David Karnok,David Karnok,David Karnok	0,111,656,673,1032	1675,1786,2331,2348,2707	18/10/16-18/03/12,06/02/17-18/03/12,05/08/18-18/03/12,22/08/18-18/03/12,16/08/19-18/03/12	0,1,2,1,0	0,1,4,1,0	0,42,15,41,0	0,41,1804,11,7746	0,41,1804,11,1943	0,0,0,0,0	0,0,0,0,1	0,0,0,0,1	3798.json	0	good
1274	34,34	30,30	30,30	0.0,0.0	0.1432153731584549,0.1432153731584549	8.02025557268845E-6,8.02025557268845E-6	7,7	6,6	13,13	8,8	8,8	3.68,3.68	3,3	4,4	3,3	29.0,29.0	14.0,14.0	116.0,116.0	47.0,47.0	43.0,43.0	163.0,163.0	884.48114,884.48114	48.678574,48.678574	43055.28,43055.28	2391.96,2391.96	0.29482704,0.29482704	78.77859497070312,78.77859497070312	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,1	5,5	0,0	0,0	David Karnok,David Karnok	0,949	1757,2707	08/01/17-18/03/12,16/08/19-18/03/12	0,0	0,0	0,0	0,7746	0,1943	0,0	0,1	0,1	638.json	173	noise
1749	4,4,4,8,8,10,10	4,4,4,7,7,8,9	4,4,4,7,7,8,9	0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.6318110227584839,0.5140549540519714,0.5140549540519714,0.8609808087348938,0.8265984654426575,0.8595550060272217,0.6305950284004211	0.9808003866591373,0.9848448763030072,0.9848448763030072,0.9820967812048301,0.972141791618102,0.9571999673385744,0.8976671318879869	0,0,0,1,1,1,1	0,0,0,1,1,1,1	0,0,0,2,2,2,2	1,1,1,2,2,2,2	1,1,1,2,2,2,2	2.0,2.0,2.0,3.33,3.33,3.32,3.27	0,0,0,1,1,1,1	2,2,2,2,2,3,4	1,1,1,1,1,2,3	9.0,8.0,8.0,12.0,12.0,13.0,14.0	3.0,3.0,3.0,5.0,5.0,6.0,7.0	15.0,15.0,15.0,23.0,23.0,27.0,31.0	3.0,3.0,3.0,6.0,6.0,7.0,8.0	12.0,11.0,11.0,17.0,17.0,19.0,21.0	18.0,18.0,18.0,29.0,29.0,34.0,39.0	64.52933,62.269768,62.269768,118.53642,118.53642,144.42953,171.30037	4.5,4.0,4.0,7.2000003,7.2000003,7.583333,8.0	290.38196,249.07907,249.07907,853.4623,853.4623,1095.2572,1370.403	16.132332,13.837727,13.837727,47.41457,47.41457,60.847622,76.1335	0.021509776,0.02075659,0.02075659,0.039512143,0.039512143,0.04814318,0.057100125	126.64300537109375,126.82835388183594,126.82835388183594,114.18511199951172,114.18511199951172,110.9945297241211,108.19918823242188	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,1,1,1,1	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	akarnokd,akarnokd,David Karnok,David Karnok,David Karnok,David Karnok,David Karnok	0,179,273,284,1048,1413,1424	1283,1462,1556,1567,2331,2696,2707	22/09/15-18/03/12,19/03/16-18/03/12,21/06/16-18/03/12,02/07/16-18/03/12,05/08/18-18/03/12,05/08/19-18/03/12,16/08/19-18/03/12	0,2,0,7,1,2,1	0,4,0,10,2,2,2	0,14,0,114,23,49,33	0,2796,1074,230,1804,130,7746	0,1559,303,230,1804,130,1943	0,0,0,0,0,0,0	0,0,0,1,0,1,1	0,0,0,1,0,1,1	2650.json	258	ugly
1370	3,3	3,3	3,3	0.0,0.0	0.9010767936706543,0.9010767936706543	0.9354782416153635,0.9354782416153635	0,0	0,0	0,0	1,1	1,1	1.89,1.89	0,0	0,0	0,0	10.0,10.0	3.0,3.0	12.0,12.0	4.0,4.0	13.0,13.0	16.0,16.0	59.207035,59.207035	6.666667,6.666667	394.7136,394.7136	21.928534,21.928534	0.019735679,0.019735679	131.75106811523438,131.75106811523438	0,0	0,0	0,0	1,1	0,0	0,0	0,0	1,1	0,0	0,0	0,0	David Karnok,David Karnok	0,1045	1662,2707	05/10/16-18/03/12,16/08/19-18/03/12	0,0	0,0	0,0	0,7746	0,1943	0,0	0,1	0,1	1483.json	50	noise
1775	5,5,5,5,5,5,3,3	5,5,5,5,5,5,3,3	5,5,5,5,5,5,3,3	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.9357585906982422,0.9357585906982422,0.9357585906982422,0.6034032702445984,0.8107452392578125,0.5924193859100342,0.4173502027988434,0.4173502027988434	0.9344104131244269,0.9344104131244269,0.9344104131244269,0.7746209633397487,0.8540568106325634,0.7793633686662885,0.887605979989066,0.887605979989066	0,0,0,1,1,1,0,0	0,0,0,1,1,1,0,0	0,0,0,2,2,2,0,0	1,1,1,2,2,2,1,1	1,1,1,2,2,2,1,1	1.96,1.96,1.96,2.99,2.99,2.99,1.89,1.89	0,0,0,1,1,1,0,0	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	12.0,12.0,12.0,14.0,13.0,15.0,13.0,13.0	6.0,6.0,6.0,6.0,5.0,5.0,3.0,3.0	17.0,17.0,17.0,20.0,19.0,21.0,15.0,15.0	7.0,7.0,7.0,7.0,6.0,6.0,4.0,4.0	18.0,18.0,18.0,20.0,18.0,20.0,16.0,16.0	24.0,24.0,24.0,27.0,25.0,27.0,19.0,19.0	100.0782,100.0782,100.0782,116.692055,104.24813,116.692055,76.0,76.0	7.0,7.0,7.0,8.166666,7.8,9.0,8.666667,8.666667	700.5474,700.5474,700.5474,952.98505,813.13544,1050.2285,658.6667,658.6667	38.9193,38.9193,38.9193,52.943615,45.17419,58.346027,36.592594,36.592594	0.0333594,0.0333594,0.0333594,0.03889735,0.034749378,0.03889735,0.025333334,0.025333334	120.74615478515625,120.74615478515625,120.74615478515625,119.7175064086914,120.30387878417969,119.7175064086914,130.45266723632812,130.45266723632812	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	akarnokd,akarnokd,David Karnok,David Karnok,David Karnok,David Karnok,David Karnok,David Karnok	0,205,299,310,363,372,424,1450	1257,1462,1556,1567,1620,1629,1681,2707	27/08/15-18/03/12,19/03/16-18/03/12,21/06/16-18/03/12,02/07/16-18/03/12,24/08/16-18/03/12,02/09/16-18/03/12,24/10/16-18/03/12,16/08/19-18/03/12	0,0,0,3,1,1,1,0	0,0,0,6,2,2,4,0	0,0,0,67,7,6,75,0	0,2796,1074,230,275,64,76,7746	0,1559,303,230,275,63,72,1943	0,0,0,0,0,0,0,0	0,0,0,1,1,0,1,1	0,0,0,1,1,0,1,1	2560.json	835	ugly
1361	3,3	3,3	3,3	0.0,0.0	0.7967140078544617,0.7967140078544617	0.9210950050417729,0.9210950050417729	0,0	0,0	0,0	1,1	1,1	1.89,1.89	0,0	1,1	1,1	10.0,10.0	2.0,2.0	13.0,13.0	3.0,3.0	12.0,12.0	16.0,16.0	57.3594,57.3594	7.5,7.5	430.19553,430.19553	23.899752,23.899752	0.019119801,0.019119801	131.91592407226562,131.91592407226562	0,0	0,0	0,0	1,1	0,0	0,0	0,0	1,1	0,0	0,0	0,0	David Karnok,David Karnok	0,1036	1671,2707	14/10/16-18/03/12,16/08/19-18/03/12	0,0	0,0	0,0	0,7746	0,1943	0,0	0,1	0,1	1419.json	57	noise
1403	3,3	3,3	3,3	0.0,0.0	0.8014312982559204,0.8209328651428223	0.8071066388793918,0.6798023143389348	0,0	0,0	0,0	1,1	1,1	1.89,1.89	0,0	0,0	0,0	12.0,12.0	4.0,6.0	15.0,15.0	5.0,7.0	16.0,18.0	20.0,22.0	80.0,91.73836	7.5,7.0	600.0,642.1685	33.333332,35.67603	0.026666667,0.030579453	130.18594360351562,129.47398376464844	0,0	0,0	0,0	1,1	0,0	0,0	0,0	2,2	0,0	0,0	0,0	David Karnok,David Karnok	0,1078	1629,2707	02/09/16-18/03/12,16/08/19-18/03/12	0,1	0,2	0,23	0,7746	0,1943	0,0	0,1	0,1	1633.json	77	noise
1394	3,3,3	3,3,3	3,3,3	0.0,0.0,0.0	0.6026245355606079,0.5096531510353088,0.5096531510353088	0.9629735716509795,0.9546847137187696,0.9546847137187696	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	1.89,1.89,1.89	0,0,0	1,1,1	1,1,1	9.0,9.0,9.0	2.0,2.0,2.0	12.0,12.0,12.0	2.0,2.0,2.0	11.0,11.0,11.0	14.0,14.0,14.0	48.432045,48.432045,48.432045	4.5,4.5,4.5	217.9442,217.9442,217.9442	12.108011,12.108011,12.108011	0.016144015,0.016144015,0.016144015	132.79563903808594,132.79563903808594,132.79563903808594	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	David Karnok,David Karnok,David Karnok	0,693,1069	1638,2331,2707	11/09/16-18/03/12,05/08/18-18/03/12,16/08/19-18/03/12	0,1,0	0,2,0	0,8,0	0,1804,7746	0,1804,1943	0,0,0	0,0,1	0,0,1	1893.json	16	bad
