Age	SLOCAsItIs	SLOCNoCommentPrettyPrinter	SLOCStandard	CommentCodeRation	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	McCabeWOCases	IndentSTD	MaximumBlockDepth	totalFanOut	uniqueFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	isPrivate	isProtected	isDefault	isPublic	isStatic	isAbstract	isGetterSetter	Parameters	LocalVariables	EnclosedExpressions	MaxEnclosedNesting	Developers	ChangeAtMethodAge	ProjectAge	CommitDate-ProjectFirstDate	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file	Category
1576	3,3,3	3,3,3	3,3,3	0.0,0.0,0.0	0.010781115852296352,0.011064543388783932,0.010410722345113754	0.5543041912408352,0.5068409154266842,0.5022216486677945	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	0.94,0.94,0.94	0,0,0	2,3,3	2,3,3	12.0,13.0,13.0	5.0,4.0,4.0	17.0,19.0,19.0	7.0,6.0,6.0	17.0,17.0,17.0	24.0,25.0,25.0	98.099106,102.18657,102.18657	8.4,9.75,9.75	824.0325,996.31903,996.31903	45.779583,55.35106,55.35106	0.0326997,0.034062188,0.034062188	129.12539672851562,128.91311645507812,128.91311645507812	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	zznate,zznate,zznate	0,187,187	419,606,606	06/04/11-10/02/10,10/10/11-10/02/10,10/10/11-10/02/10	0,1,1	0,2,2	0,6,4	0,35,5	0,35,5	0,0,0	0,1,0	0,0,0	2447.json	Bad
1410	3	3	3	0.0	0.7461639642715454	0.715164023002058	0	0	0	1	1	0.94	0	1	1	13.0	3.0	15.0	4.0	16.0	19.0	76.0	8.666667	658.6667	36.592594	0.025333334	130.45266723632812	0	0	0	1	0	0	0	1	0	0	0	B. Todd Burruss	0	585	19/09/11-10/02/10	0	0	0	0	0	0	0	0	116.json	Good
1754	3,3,3	3,3,3	3,3,3	0.0,0.0,0.0	0.003641801653429866,0.003649673890322447,0.003649673890322447	0.4673392785843382,0.43933874429483094,0.43933874429483094	0,0,0	0,0,0	0,0,0	1,1,1	1,1,1	0.94,0.94,0.94	0,0,0	2,2,2	2,2,2	13.0,13.0,13.0	5.0,5.0,5.0	18.0,18.0,18.0	5.0,5.0,5.0	18.0,18.0,18.0	23.0,23.0,23.0	95.90828,95.90828,95.90828	6.5,6.5,6.5	623.4038,623.4038,623.4038	34.633545,34.633545,34.633545	0.031969428,0.031969428,0.031969428	129.2428436279297,129.2428436279297,129.2428436279297	0,0,0	0,0,0	0,0,0	1,1,1	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	zznate,Ran Tavory,patricioe	0,56,373	241,298,614	10/10/10-10/02/10,05/12/10-10/02/10,18/10/11-10/02/10	0,0,0	0,0,0	0,4,0	0,771,21	0,0,14	0,0,0	0,0,0	0,0,0	851.json	Good
1315	3	3	3	0.0	0.2677787244319916	0.9096327311897985	0	0	0	1	1	0.94	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	Greg Hinkle	0	680	22/12/11-10/02/10	0	0	0	0	0	0	0	0	2669.json	Good
1110	3	3	3	0.0	0.5822826027870178	0.7776163363956484	0	0	0	1	1	0.94	0	2	2	12.0	2.0	16.0	2.0	14.0	18.0	68.53239	6.0	411.19434	22.84413	0.022844128	130.99049377441406	1	0	0	0	0	0	0	0	0	0	0	Patricio Echague	0	885	15/07/12-10/02/10	0	0	0	0	0	0	0	0	1206.json	Good
868	3	3	3	0.0	0.015056570060551167	0.8594716451439556	0	0	0	1	1	0.94	0	0	0	11.0	2.0	12.0	2.0	13.0	14.0	51.806156	5.5	284.93387	15.829659	0.01726872	132.4454345703125	0	0	0	1	0	0	1	0	0	0	0	Dominique De Vito	0	1127	14/03/13-10/02/10	0	0	0	0	0	0	0	0	2807.json	Good
1649	4,4	3,3	4,4	0.0,0.0	0.4611567258834839,0.20886920392513275	0.5988078256178677,0.5050647905603725	0,0	0,0	0,0	1,1	1,1	1.66,1.66	0,0	1,1	1,1	15.0,16.0	3.0,3.0	18.0,20.0	4.0,4.0	18.0,19.0	22.0,24.0	91.73836,101.950264	10.0,10.666667	917.38354,1087.4695	50.96575,60.41497	0.030579453,0.03398342	124.81353759765625,124.26470947265625	0,0	0,0	0,0	1,1	0,0	0,0	0,0	1,1	0,0	0,0	0,0	Ed Anuff,zznate	0,53	346,399	22/01/11-10/02/10,17/03/11-10/02/10	0,1	0,2	0,29	0,14	0,14	0,0	0,0	0,0	1603.json	Bad
1935	3,3	3,3	3,3	0.0,0.0	0.04452827572822571,0.04452827572822571	0.7962969309767537,0.7962969309767537	0,0	0,0	0,0	1,1	1,1	0.94,0.94	0,0	0,0	0,0	12.0,12.0	2.0,2.0	13.0,13.0	4.0,4.0	14.0,14.0	17.0,17.0	64.72504,64.72504	12.0,12.0	776.70044,776.70044	43.150024,43.150024	0.021575011,0.021575011	131.28770446777344,131.28770446777344	0,0	0,0	0,0	1,1	0,0	0,0	1,1	1,1	0,0	0,0	0,0	zznate,Ran Tavory	0,237	60,298	12/04/10-10/02/10,05/12/10-10/02/10	0,0	0,0	0,0	0,771	0,0	0,0	0,0	0,0	2726.json	Good
1315	3	3	3	0.0	0.6159546971321106	0.9234521424011252	0	0	0	1	1	0.94	0	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	1	0	0	1	0	0	0	0	Greg Hinkle	0	680	22/12/11-10/02/10	0	0	0	0	0	0	0	0	1903.json	Good
1648	3	3	3	0.0	0.29183635115623474	0.7727257446869735	0	0	0	1	1	0.94	0	1	1	12.0	4.0	14.0	4.0	16.0	18.0	72.0	6.0	432.0	24.0	0.024	130.7338104248047	0	0	0	1	0	0	1	0	0	0	0	Ed Anuff	0	347	23/01/11-10/02/10	0	0	0	0	0	0	0	0	2156.json	Good
